,Review,Review By,Review Date
13,"Great looks - MG HectorNice car with good and heavy looks. It is better than other SUVs. It has nice interiors with best ground clearance and looks like a big SUV. I looked it for the first time and what a great SUV with great design, interiors, great fog lights and nice exteriors. It is the best SUV in 15 lacs.Read More",By urdhab,"On: Nov 21, 2019  | 84 Views"
14,Love this carI just love this car. Most advanced car in this price segment and one of the most luxurious car.,By md nayeem mallick,"On: Nov 20, 2019  | 38 Views"
15,MG Hector - WOW CarThe car is very comfortable and looks are awesome. Worth for money and boot space is very comfortable. The 360-degree camera is also very useful and the sunroof is also very good.Read More,By ayub kh,"On: Nov 20, 2019  | 168 Views"
16,India's number 1 carExcellent car. The price is the best. Comfortable drive and seating. Internet car. AC is the best. Safety car. Engine is smooth and the sound is smooth. I have driven this car. Ground clearance is best and height is better. Car facilities are best. Comfortable drive as compared to other cars.Read More,By sagar kumbhar,"On: Nov 18, 2019  | 117 Views"
17,MG Hector - Father off all carsThe car facility is cool and fantastic. It looks awesome and the tyres have a strong grip.,By more jay jitendrabhai,"On: Nov 21, 2019  | 36 Views"
18,Nice car to buyNice car with all features of luxury cars. There is enough space. The price range is good in this segment. It is stylish.,By gokul dinesh,"On: Nov 21, 2019  | 30 Views"
19,Overrated carThis car is overrated and doesn't match the hype it created. It doesn't have a good ride quality. ,By harshit nayak,"On: Nov 20, 2019  | 49 Views"
20,"Internet incredible carThis is the best and only internet car available in India, all functions are operated by mobile app one touch plus the flexibility of seating system and ride comfortable control also nice both in city and highway for long journeys as its first car from Morrise garage its really commendable job from them.Read More",By sangram sawant,"On: Nov 17, 2019  | 1107 Views"
21,"Hector the featured SUVMG HECTOR is one of the best and fully loaded SUVs, which was provided at a lower cost in all variants. Ride quality and looks also good. Comfortable seats, panoramic sunroof, inside the internet and AC performance fabulous and it is a very practical car. Mileage is also very good which we get in cities or on highways although you can say that this...Read More",By pubgpro xyz,"On: Nov 17, 2019  | 686 Views"
22,"Advantages and disadvantages in MG HectorHowever MG Hector top model gets all the features that are awesome but in mid-model and basic model we can get very fewer features at that price but any way they gives a powerful engine and high body quality so overall, this vehicle is a nice vehicle but only one this company available only in Chennai in the whole Tamilnadu.Read More",By pranavan,"On: Nov 17, 2019  | 1903 Views"
23,"My dream car is MG HectorMG IS A WONDERFULL CAR. MG HAS BROKEN ALL RECORDS AGAINST TATA HARRIER HYUNDAI CRETA, AND XUV 500. THESE ALL CARS SALES ARE GOING DOWN DAY BY DAY. THE SALE OF HECTOR IS GROWING UP THATS GREAT EXCELLENT CAR I LOVE THIS CAR.Read More",By zibran sheikh,"On: Nov 17, 2019  | 153 Views"
24,Car specificationsLooking very classy and luxury. Leg space is pretty good. Very comfortable while driving.,By shiv,"On: Nov 18, 2019  | 40 Views"
25,"Superb carIt is a very good car in my life I have ever seen so, brilliant work by MG company and also for the internet inside.",By lakhvir kaur,"On: Nov 17, 2019  | 40 Views"
26,"MG Hector is the best choiceGood mileage and best-running condition, power brakes, and best safety features and the body height is nice.",By sameer khan,"On: Nov 17, 2019  | 33 Views"
27,"Above SuperThe superb car, Drive is amazing and also that car has a voice commands so it gives very good feel when we drive. ",By prajwal chichate,"On: Nov 18, 2019  | 31 Views"
28,The Quality Of A Good Car: MG HectorMG Hector is the most luxurious car in the Indian market at the cheapest price. The showrooms of MG are very nice and the service of this car is quite good. Love you MG.,By aniruddh adhikary,"On: Nov 18, 2019  | 41 Views"
29,"Best In Segment CarGood Looking and best in the segment. The company is based in China and the UK basically. Talking about build quality & crash test rating, Let me tell you that, it got 5 stars in the China NCAP crash test. It offers many features at this price range. It Strongly competes with Tata Harier & KIA Seltos.Read More",By nikhil,"On: Nov 16, 2019  | 162 Views"
0,"My feelings about MG HectorThis car is awesome with great features. I love this car and the looks of the car. The interior is very clean and attractive. Excellent performance, awesome, and a lovely car. I have a Honda City as well. But I sold that car because of the performance and bought Hector and I feel so glad and excited when I drive Hector.Read More",By gourav singh,"On: Nov 15, 2019  | 1593 Views"
1,Great decision to buy HectorHector is a nice SUV. I have experienced a wonderful feeling by seating or driving this SUV car. It is a very comfortable car. I think that its speed is more than kia seltos. Its music system is also better than the other cars which is in Hector's range. I will recommend everyone to buy this wonderful SUV car.Read More,By kumar prashant,"On: Nov 15, 2019  | 486 Views"
2,"Good Features - MG HectorThe cabin of MG Hector wears a more functional design, but there are some interesting bits like the shapely digital instrument cluster and the unconventional gear lever, which add a smattering of flair. The large digital speedo is easy to read, but the tachometer isn't. As if to make the point that this is not a sporty car, the rev tacho bar graph ...Read More",By pankaj sharma,"On: Nov 12, 2019  | 2081 Views"
3,"Best Car Ever - MG HectorMG Hector has got best design and comfort, car is just a boom but smooth as butter, performance of engine is awesome, you will feel like you are sitting in a plane in business class, MG hector has all the feature of top-class car and very satisfying especially on Indian roads Hector performed very effectively, Ground clearance is best in class, And...Read More",By somesh jadhav,"On: Nov 13, 2019  | 862 Views"
4,"New Is Not Enough - MG HectorWhen we board into this vehicle MG Hector you will feel like you are sitting in a car which is too much of a premium car that costs 40 lakhs, though its a Chinese car it doesn't look like it, MG need to improve its service points at the earliest.Read More",By gfvhgggh,"On: Nov 13, 2019  | 1572 Views"
5,"Magnificient Heavy Muscular Beast - MG HectorFrom the day I saw this beast MG Hector which catches my heart and soul, Since the first time I grabbed it in my hands I felt like this is it, its all I ever wanted. Really inside of the car and the exterior looks awesome and the comfort is just to a next level of imagination for Indians, its hello MG internet feature takes the car industry of medi...Read More",By siddharth,"On: Nov 13, 2019  | 146 Views"
6,"One of my best carsHector is a great car, best handling, and torque I have ever experienced. AIl functions work good and the car generates ultimate power.",By ankit chaudhary,"On: Nov 16, 2019  | 34 Views"
7,"Good CarGood car, the look is beautiful, sunroof is good, the functions in the car are very good.",By vishal chaudhary,"On: Nov 13, 2019  | 34 Views"
8,"Best Car - MG HectorMG Hector is a superb car, best in power, you feel the real luxury in this car. Five stars for this lovely beast. It's a luxurious powerful vehicle. ",By prakhar trivedi,"On: Nov 13, 2019  | 37 Views"
9,"Nice CarNice and best car ever. Nice features at a very affordable price, beautiful interior and classic exterior.",By rahul me,"On: Nov 13, 2019  | 29 Views"
10,"For Life - MG HectorMG Hector is an amazing car It is as good as an Audi Q7 the most attractive is the technology in this car and for me the sunroof and moonroof. The car is spacious the trunk is also huge and the price is also not that high, features are also amazing also the logo of the car is very attractive and design also not to forget the headlights and the tail...Read More",By krish bhatia,"On: Nov 07, 2019  | 4716 Views"
11,"Worth Every Penny - MG HectoMG Hector has an eye-catching design, massive proportions and new-age tech make it a well-rounded package that should definitely be on the radar of prospective mid-size SUV owners. Though truly a rival for the Tata Harrier, Mahindra XUV500 and Jeep Compass in terms of its sheer size, keen pricing has also placed it precariously close to the likes o...Read More",By zehan ahmad,"On: Nov 08, 2019  | 989 Views"
12,"Go For It - MG HectorOne of the best car in the market currently. Yes MG Hector is everything that a customer can wish for. It uses the best engines, it has the best infotainment, best speakers, best aesthetic looks, imposing front grille, biggest sunroof, largest boot, best AI, most comfortable seating and what not. You ask for a feature and its there. This also happe...Read More",By sanket banerjee,"On: Nov 08, 2019  | 221 Views"
13,Amazing Car - MG HectorMG Hector is an amazing car. This is a stylish car. All the cars of MG are amazing. MG Hector is one of the best cars. No other car can be compared with this car. Interior and the features of the car are amazing. It is a luxurious car. It is my dream car. Middle-class family can afford this car.Read More,By jayesh patil,"On: Nov 12, 2019  | 38 Views"
14,"Dream Car - MG HectorMG Hector is the best in the class car, awesome looks with great luxury feature especially the 360 view camera and the full sunroof. ",By divas baghla,"On: Nov 11, 2019  | 41 Views"
15,"Best Car Of All Time - MG HectorMG Hector is a nice car, nice interior and all variant are superb, superb design, interior, safety system, the average is nice, good for the long route. A complete car, adequate seating for 4-5 persons, this is best for a small family.Read More",By milan vyas,"On: Nov 09, 2019  | 143 Views"
16,"Original Beast - MG HectorDreaming a lot to buy a car and searching which to buy, finally seen MG Hector fallen in love with the car, the MG pick-up is awesome with 2 persons, slightly slow with 5 to 6 members and once the engine turned off on the road while driving, I got tension and found the problem is in the fuel change, overall superb car ever bought this is my first c...Read More",By anand k,"On: Nov 07, 2019  | 198 Views"
17,"Excellent Car - MG HectorMG Hector is an excellent car. Features are also excellent. Everything is good in this car, power, voice control, just like an Audi or BMW.",By himanshu patidar,"On: Nov 09, 2019  | 42 Views"
18,"Luxurious - Mg HectorMg Hector feeling is like a luxurious car and a very costly car. Feels like Fortuner. Its ""hello mg"" feature helps a lot while driving.",By sudhanshu dutta,"On: Nov 08, 2019  | 30 Views"
19,The Car Rocks - MG HectorMG Hector has got stunning looks and features makes it the best car and the lighting styling and sunroof add to the marvel.,By anonymous,"On: Nov 11, 2019  | 32 Views"
20,"Review - MG HectorMG hector one of the best competitor in SUV segment cars. IN MG hector all the feature are top class and very satisfying especially in Indian roads hector performed very effectively, Ground clearance is best in class.Read More",By prathamesh rao,"On: Oct 31, 2019  | 4573 Views"
21,"Beautiful and Beastly - MG HectorDone 2 months with MG Hector. Loved each moment I drove it. Somehow managed to get over 10 Kmpl avg after 2000km on Petrol DCT Automatic driving in Delhi NCR. If anything that could have been better, I wish suspensions were as good as those of Jeep Compass. Nevertheless, better suspensions than many others in the segment.Read More",By subhasis,"On: Nov 06, 2019  | 1246 Views"
22,My dream carMG Hector is my dream car. It is a very good looking car. It has a beautiful look rather than others. Its interior is very beautiful and looks like a luxury car from the interior. It has also the best build quality. It is best for running on Indian roads. It's a very beautiful SUV car. It can defeat the craze of Scorpio as it has many features than...Read More,By vinod kumar tihal,"On: Oct 27, 2019  | 872 Views"
23,MG Hector Super Diesel MTI bought the MG Hector Super Diesel MT after going through the specs and features. The fuel efficiency of the car is very good. The car is very spacious and comfortable for long journeys.Read More,By pawan,"On: Oct 23, 2019  | 10332 Views"
24,My favourite carMG Hector is the best car in SUV because of its features and functions and its good look This is the car which hits and left all car behind by its selling point of view. I am a lover of this car too much.Read More,By kamal prakash meena,"On: Oct 28, 2019  | 72 Views"
25,"Internal Beauty - MG HectorVery stable and secure car from one of the leading SUV's MG Hector, Great design and interior implementation gives them an excellent look. Its 1965 cc engine creates a lightning power for an average of about 15-16 kmpl. Its a very good family pack for all those things and maintains an economic range. Go for it if you buy in this price segment witho...Read More",By rohit sharma,"On: Nov 03, 2019  | 120 Views"
26,"Styling & looks : HectorThe Hector looks the business, no two ways about it. The imposing hexagonal grille, the heavy chrome lining, and black detailing interspersed within the split LED headlamps, with their main units tucked into a recess, all make for a car that grabs your attention immediately, and holds on to it. For anyone wondering if these units are more prone to ...Read More",By abishak kumar,"On: Nov 05, 2019  | 66 Views"
27,Features never beforeHector has an exclusive price and the best quality. This is a very good feature car because this car has internet and voice command.,By shivam verma,"On: Oct 28, 2019  | 34 Views"
28,An Excellent CarThis is an excellent car in the segment. The mileage is impressive. ,By sanyukta singh,"On: Oct 24, 2019  | 38 Views"
29,An Awesome CarThe features are impressive. The seating is very comfortable. The entertainment system is good. This is the best car in this segment.,By vansh khattar,"On: Oct 24, 2019  | 32 Views"
