,Review,Review By,Review Date
6,Hector is the BestGreat car in the budget segment. Very comfortable for driver and for everyone inside. Futuristic design and features.,By yogesh patel,"On: Dec 16, 2019  | 57 Views"
7,"Awesome experience of HectorMG Hector is a good and perfect sporty car. Really its a proud to be own this legend. Front of this car is really looking like cars in the UAE, Saudi Arabia, etc.",By jagmender,"On: Dec 15, 2019  | 55 Views"
8,I Prefer It The BestVery good vehicle but I look any more vehicles what is MG hectare is a good vehicle the interior nice space looking so nice and very good price Maruti Suzuki Baleno price MG hectare is a very good road trip vehicle this is not compared with you any more vehicle but I will be told very good vehicle nice looking.Read More,By thigulla mahesh goud ,"On: Dec 14, 2019  | 91 Views"
9,Comfortable to drive in village.MG Hector is a best car with all the required features. It is very comfortable to drive in the village areas as well. Best family car. ,By user,"On: Dec 15, 2019  | 56 Views"
10,Technology CarBest features in this segment. Filled with technology. The best price range for the specifications they are providing. This car is something Out of the box in the Indian Market. As this car is the first impression of MG motors in the Indian market they have worked a lot on this. The sunroof which is there is usually in Jaguar or BMW.Read More,By prakhar joshi,"On: Dec 14, 2019  | 357 Views"
11,"MG Hector feature-loadedMG Hector is a superb vehicle and totally feature-loaded, value for money and some minor aroused exterior like small tire size for a big vehicle, and rear side would be over reflector presence.Read More",By albin xavier,"On: Dec 13, 2019  | 1731 Views"
12,Gorgeous car of 2019.That's the special car of the year. I experienced there is one of the luxurious low budget SUV I have seen.,By faizan sheikh,"On: Dec 11, 2019  | 51 Views"
13,The Beast InsideYesterday I drove this car from one of my friends. I think this is a very luxurious car nowadays with super-awesome features.,By stunt rider vishnu,"On: Dec 14, 2019  | 33 Views"
14,Really a great car.Great car with great interiors and equipped with the latest features.,By rajbir singh,"On: Dec 14, 2019  | 52 Views"
15,Wonderful car.It is so amazing and it so much easy for me to drive.,By mukesh kumar,"On: Dec 14, 2019  | 39 Views"
16,Amazing performanceGood looking. Amazing performance what a style. The brand is making perfect for youngsters. Important for safety as well.,By vinoth krishna,"On: Dec 12, 2019  | 34 Views"
17,"Car of the year.A wonderful and an amazing car. High ranking car of the year with all facilities like air bags, A.C., and much more.",By sadhuram garg,"On: Dec 12, 2019  | 42 Views"
18,"The next level car.The car is beyond the next level. The function like ""hey MG"" is the best feature it has. Amazing speed and wonderful performance it has.",By shivam patel,"On: Dec 12, 2019  | 40 Views"
19,Great car.I bought MG Hector in October and so far this car gave me good mileage and very nice driving experience. Its infotainment system with the internet inside is a futuristic feature. Nice and spacious car with so many features and good mileage too. Value for money.Read More,By soni,"On: Dec 12, 2019  | 761 Views"
20,Awesome car.People might like the Kia better but this car has its class of its own with its phenomenal looks and stance which is a charmer on road. The features too are fully loaded as one would expect it to be so good job by the MG team.Read More,By a singha,"On: Dec 10, 2019  | 782 Views"
21,"Excellent car.This car is just awesome, because of the design, the internet inside and the looks of this car and the engine performance is really good.",By patel susmit,"On: Dec 11, 2019  | 48 Views"
22,"The best SUV.MG Hector is the best car one can buy. Its comfort and class are uncomparable. Just an amazing vehicle one can buy. Safety features in hector are best in segment . you can always believe in the name MG because it defines comfort, class, safety. Read More",By prathamesh deshpande,"On: Dec 11, 2019  | 278 Views"
23,Amazing car.Best car for the family.,By prabhakar bandal,"On: Dec 11, 2019  | 41 Views"
24,"Great car.Super good car and excellent condition with great mileage. Good interiors, wonderful performance and best designed.",By shivareddy congress,"On: Dec 11, 2019  | 30 Views"
